Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Price
Srilankan Airlines,31-08-2022,Chennai,Melbourne,21:15:00,14:40:00,12h 55m,1 stop,4349123
Thai Airways,31-08-2022,Chennai,Melbourne,01:10:00,20:30:00,14h 50m,1 stop,4329778
Malaysia Airlines,31-08-2022,Chennai,Melbourne,23:55:00,19:15:00,14h 50m,1 stop,507552
Air India,31-08-2022,Chennai,Melbourne,06:00:00,05:35:00,19h 05m,1 stop,5304322
Air India,31-08-2022,Chennai,Melbourne,06:10:00,05:35:00,18h 55m,2 stops,5685574
"Malaysia Airlines, Qantas Airways",31-08-2022,Chennai,Melbourne,22:35:00,23:55:00,18h 10m,2 stops,5969274
"Thai Airways, Qantas Airways",31-08-2022,Chennai,Melbourne,23:35:00,01:10:00,17h 55m,2 stops,6851461
"Srilankan Airlines, Qantas Airways",31-08-2022,Chennai,Melbourne,18:35:00,21:15:00,16h 50m,2 stops,7452481
Singapore Airlines,31-08-2022,Chennai,Melbourne,23:15:00,17:10:00,13h 25m,1 stop,940117
Singapore Airlines,31-08-2022,Chennai,Melbourne,23:15:00,20:35:00,16h 50m,1 stop,8404611
Air India,31-08-2022,Chennai,Melbourne,21:40:00,06:00:00,27h 50m,2 stops,6179885
Air India,31-08-2022,Chennai,Melbourne,20:15:00,06:00:00,29h 15m,1 stop,5846436
Air India,31-08-2022,Chennai,Melbourne,21:40:00,06:00:00,27h 50m,2 stops,6258721
Vistara,31-08-2022,Chennai,Melbourne,20:30:00,20:35:00,19h 35m,2 stops,10509857
"Air India, Malaysia Airlines",31-08-2022,Chennai,Melbourne,19:15:00,15:25:00,23h 20m,2 stops,10322838
Srilankan Airlines,31-08-2022,Chennai,Melbourne,21:15:00,14:40:00,12h 55m,1 stop,4349123
SpiceJet,15-04-2022,Delhi,Cochin,08:45:00,13:15,4h 30m,1 stop,5830
Jet Airways,12-06-2022,Delhi,Cochin,14:00:00,12:35 13 ,22h 35m,1 stop,10262
Air India,12-06-2022,Delhi,Cochin,20:15:00,19:15 13 ,23h,2 stops,13381
Jet Airways,27-05-2022,Delhi,Cochin,16:00:00,12:35 28 ,20h 35m,1 stop,12898
GoAir,06-03-2022,Delhi,Cochin,14:10:00,19:20,5h 10m,1 stop,19495
Air India,21-03-2022,Banglore,New Delhi,22:00:00,13:20 19 ,15h 20m,1 stop,6955
IndiGo,03-04-2022,Banglore,Delhi,04:00:00,06:50,2h 50m,non-stop,3943
IndiGo,01-05-2022,Banglore,Delhi,18:55:00,21:50,2h 55m,non-stop,4823
Jet Airways,06-05-2022,Kolkata,Banglore,18:55:00,08:15 07 ,13h 20m,1 stop,7757
Jet Airways,09-06-2022,Delhi,Cochin,21:25:00,12:35 10 ,15h 10m,2 stops,13292
IndiGo,01-06-2022,Delhi,Cochin,21:50:00,03:35 02 ,5h 45m,1 stop,8238
GoAir,15-05-2022,Delhi,Cochin,07:00:00,12:55,5h 55m,1 stop,7682
Vistara,18-06-2022,Banglore,Delhi,09:45:00,12:35,2h 50m,non-stop,4668
Vistara,15-06-2022,Chennai,Kolkata,07:05:00,09:20,2h 15m,non-stop,3687
Vistara,18-06-2022,Chennai,Kolkata,07:05:00,09:20,2h 15m,non-stop,3687
Air India,01-05-2022,Kolkata,Banglore,09:50:00,23:15,13h 25m,2 stops,13227
IndiGo,06-04-2022,Banglore,Delhi,04:00:00,06:50,2h 50m,non-stop,4423
Jet Airways,15-06-2022,Delhi,Cochin,14:35:00,12:35 16 ,22h,2 stops,10919
Jet Airways,18-05-2022,Delhi,Cochin,07:05:00,12:35,5h 30m,1 stop,12373
IndiGo,27-06-2022,Delhi,Cochin,10:35:00,21:00,10h 25m,1 stop,5894
SpiceJet,21-05-2022,Kolkata,Banglore,15:05:00,20:20,5h 15m,1 stop,4649
Air India,18-05-2022,Kolkata,Banglore,14:15:00,16:45,2h 30m,non-stop,6245
Jet Airways,06-03-2022,Banglore,New Delhi,07:00:00,13:15,6h 15m,1 stop,19225
Jet Airways,03-06-2022,Delhi,Cochin,07:05:00,19:00,11h 55m,1 stop,14924
Multiple carriers,21-05-2022,Delhi,Cochin,07:05:00,18:10,11h 5m,1 stop,9646
Air India,15-03-2022,Banglore,New Delhi,06:45:00,15:15,8h 30m,1 stop,8714
Jet Airways,18-05-2022,Delhi,Cochin,20:55:00,19:00 19 ,22h 5m,1 stop,12373
Air Asia,06-05-2022,Banglore,Delhi,11:10:00,13:55,2h 45m,non-stop,3383
Multiple carriers,21-03-2022,Delhi,Cochin,09:00:00,21:00,12h,1 stop,13062
SpiceJet,24-03-2022,Banglore,New Delhi,05:45:00,08:35,2h 50m,non-stop,3527
IndiGo,27-05-2022,Banglore,Delhi,04:00:00,06:50,2h 50m,non-stop,3943
Air India,03-05-2022,Chennai,Kolkata,11:40:00,13:55,2h 15m,non-stop,4667
Air India,15-05-2022,Kolkata,Banglore,19:00:00,11:05 16 ,16h 5m,1 stop,6117
Jet Airways,27-06-2022,Delhi,Cochin,23:05:00,19:00 28 ,19h 55m,2 stops,11150
Jet Airways,09-03-2022,Delhi,Cochin,11:00:00,14:15,3h 15m,non-stop,7202
Jet Airways,01-05-2022,Kolkata,Banglore,09:35:00,10:55 02 ,25h 20m,1 stop,12121
IndiGo,24-03-2022,Banglore,New Delhi,22:20:00,01:10 28 ,2h 50m,non-stop,4377
IndiGo,18-06-2022,Banglore,Delhi,21:15:00,00:15 19 ,3h,non-stop,3943
Air Asia,03-04-2022,Banglore,Delhi,23:55:00,02:45 04 ,2h 50m,non-stop,4483
Jet Airways,24-03-2022,Kolkata,Banglore,19:45:00,12:00 25 ,16h 15m,1 stop,14231
Air India,01-03-2022,Banglore,New Delhi,08:50:00,23:55,15h 5m,2 stops,17345
Vistara,06-03-2022,Chennai,Kolkata,07:05:00,09:20,2h 15m,non-stop,7414
Multiple carriers,06-05-2022,Delhi,Cochin,19:00:00,01:30 07 ,6h 30m,1 stop,8073
Vistara,06-03-2022,Mumbai,Hyderabad,15:40:00,16:45 07 ,25h 5m,1 stop,12395
Air India,06-06-2022,Kolkata,Banglore,09:25:00,21:50,12h 25m,1 stop,8366
Air India,03-04-2022,Delhi,Cochin,06:05:00,09:25 04 ,27h 20m,1 stop,5117
Multiple carriers,03-06-2022,Delhi,Cochin,08:45:00,19:00,10h 15m,1 stop,12524
IndiGo,15-05-2022,Delhi,Cochin,15:00:00,01:30 16 ,10h 30m,1 stop,7191
Vistara,24-05-2022,Chennai,Kolkata,07:05:00,09:20,2h 15m,non-stop,3687
IndiGo,24-06-2022,Delhi,Cochin,10:35:00,21:00,10h 25m,1 stop,5894
Vistara,24-04-2022,Banglore,Delhi,09:45:00,12:35,2h 50m,non-stop,5403
Air India,06-05-2022,Mumbai,Hyderabad,13:55:00,15:25,1h 30m,non-stop,3625
Air India,21-05-2022,Delhi,Cochin,05:55:00,19:15,13h 20m,2 stops,10861
IndiGo,12-03-2022,Chennai,Kolkata,13:20:00,15:35,2h 15m,non-stop,6297
Jet Airways,01-06-2022,Mumbai,Hyderabad,07:05:00,08:30,1h 25m,non-stop,5678
Jet Airways,09-03-2022,Banglore,New Delhi,05:45:00,08:15 13 ,26h 30m,1 stop,9134
Multiple carriers,24-06-2022,Delhi,Cochin,11:40:00,19:00,7h 20m,1 stop,10791
Jet Airways,24-06-2022,Delhi,Cochin,23:05:00,12:35 25 ,13h 30m,2 stops,12819
IndiGo,21-03-2022,Delhi,Cochin,05:05:00,10:05,5h,1 stop,6893
Vistara,09-03-2022,Banglore,New Delhi,09:50:00,12:35,2h 45m,non-stop,7240
GoAir,03-04-2022,Banglore,Delhi,11:40:00,14:30,2h 50m,non-stop,3898
IndiGo,03-04-2022,Mumbai,Hyderabad,06:25:00,07:55,1h 30m,non-stop,4049
Jet Airways,15-06-2022,Delhi,Cochin,17:30:00,12:35 16 ,19h 5m,1 stop,10262
SpiceJet,21-03-2022,Chennai,Kolkata,08:20:00,10:35,2h 15m,non-stop,3332
Jet Airways,09-06-2022,Kolkata,Banglore,21:10:00,12:00 10 ,14h 50m,1 stop,10844
Jet Airways,24-03-2022,Banglore,New Delhi,19:55:00,22:35,2h 40m,non-stop,7229
Jet Airways,06-05-2022,Kolkata,Banglore,06:30:00,04:40 07 ,22h 10m,1 stop,13941
IndiGo,27-06-2022,Delhi,Cochin,11:25:00,21:00,9h 35m,1 stop,5894
Multiple carriers,18-05-2022,Delhi,Cochin,09:00:00,19:00,10h,1 stop,10197
Jet Airways,06-03-2022,Banglore,New Delhi,14:05:00,11:25 07 ,21h 20m,1 stop,13712
IndiGo,24-06-2022,Delhi,Cochin,02:00:00,07:25,5h 25m,1 stop,5636
Jet Airways,06-06-2022,Delhi,Cochin,09:40:00,04:25 07 ,18h 45m,2 stops,13014
Jet Airways,01-04-2022,Kolkata,Banglore,08:25:00,20:45,12h 20m,1 stop,7064
Jet Airways,24-05-2022,Kolkata,Banglore,20:25:00,14:25 25 ,18h,1 stop,10703
Multiple carriers,27-05-2022,Delhi,Cochin,13:15:00,22:30,9h 15m,1 stop,9646
Multiple carriers,06-03-2022,Delhi,Cochin,02:15:00,13:20,11h 5m,1 stop,17057
Jet Airways,12-03-2022,Banglore,New Delhi,16:55:00,10:25 13 ,17h 30m,1 stop,13817
Air India,06-03-2022,Delhi,Cochin,05:55:00,19:15,13h 20m,2 stops,13748
Air India,21-04-2022,Kolkata,Banglore,20:45:00,23:20,2h 35m,non-stop,4880
IndiGo,21-06-2022,Chennai,Kolkata,05:15:00,07:40,2h 25m,non-stop,3540
SpiceJet,15-05-2022,Banglore,Delhi,05:55:00,08:35,2h 40m,non-stop,3257
Jet Airways,03-06-2022,Banglore,Delhi,19:50:00,22:50,3h,non-stop,6478
Jet Airways,18-06-2022,Mumbai,Hyderabad,07:05:00,08:30,1h 25m,non-stop,8040
Jet Airways,12-06-2022,Delhi,Cochin,20:00:00,12:35 13 ,16h 35m,2 stops,14300
Jet Airways,15-05-2022,Kolkata,Banglore,08:25:00,20:45,12h 20m,1 stop,14781
Jet Airways,09-06-2022,Kolkata,Banglore,20:00:00,08:15 10 ,12h 15m,1 stop,14939
Jet Airways,24-06-2022,Delhi,Cochin,20:55:00,04:25 25 ,7h 30m,1 stop,10262
Air India,12-05-2022,Kolkata,Banglore,14:35:00,14:35 13 ,24h,1 stop,6528
